Joint1(deg),Joint2(deg),Joint3(deg),Joint4(deg),Joint5(deg),Joint6(deg)
-19.32,66.79,-41.70,-25.80,-61.36,4.29
-19.32,66.79,-41.70,-25.80,-61.36,4.29
-19.32,66.79,-41.70,-25.80,-61.36,4.29
-19.32,66.79,-41.70,-25.80,-61.36,4.29
-19.08,66.70,-41.69,-25.79,-61.57,4.33
-19.08,66.70,-41.69,-25.79,-61.57,4.33
-19.08,66.70,-41.69,-25.79,-61.57,4.33
-19.08,66.70,-41.69,-25.79,-61.57,4.33
-19.23,66.74,-41.66,-25.79,-61.40,4.33
-19.23,66.74,-41.66,-25.79,-61.40,4.33
-19.23,66.74,-41.66,-25.79,-61.40,4.33
-19.23,66.74,-41.66,-25.79,-61.40,4.33
-18.84,66.62,-41.59,-25.78,-61.66,4.43
-18.84,66.62,-41.59,-25.78,-61.66,4.43
-18.84,66.62,-41.59,-25.78,-61.66,4.43
-18.84,66.62,-41.59,-25.78,-61.66,4.43
-18.29,66.51,-41.53,-25.78,-62.08,4.51
-18.29,66.51,-41.53,-25.78,-62.08,4.51
-18.29,66.51,-41.53,-25.78,-62.08,4.51
-18.29,66.51,-41.53,-25.78,-62.08,4.51
-17.71,66.42,-41.50,-25.80,-62.55,4.59
-17.71,66.42,-41.50,-25.80,-62.55,4.59
-17.71,66.42,-41.50,-25.80,-62.55,4.59
-17.71,66.42,-41.50,-25.80,-62.55,4.59
-17.21,66.34,-41.47,-25.82,-62.97,4.64
-17.21,66.34,-41.47,-25.82,-62.97,4.64
-17.21,66.34,-41.47,-25.82,-62.97,4.64
-17.21,66.34,-41.47,-25.82,-62.97,4.64
-16.91,66.31,-41.45,-25.83,-63.22,4.67
-16.91,66.31,-41.45,-25.83,-63.22,4.67
-16.91,66.31,-41.45,-25.83,-63.22,4.67
-16.91,66.31,-41.45,-25.83,-63.22,4.67
-17.19,66.34,-41.46,-25.82,-62.97,4.65
-17.19,66.34,-41.46,-25.82,-62.97,4.65
-17.19,66.34,-41.46,-25.82,-62.97,4.65
-17.19,66.34,-41.46,-25.82,-62.97,4.65
-16.86,66.24,-41.38,-25.83,-63.21,4.71
-16.86,66.24,-41.38,-25.83,-63.21,4.71
-16.86,66.24,-41.38,-25.83,-63.21,4.71
-16.86,66.24,-41.38,-25.83,-63.21,4.71
-16.33,66.14,-41.32,-25.85,-63.65,4.77
-16.33,66.14,-41.32,-25.85,-63.65,4.77
-16.33,66.14,-41.32,-25.85,-63.65,4.77
-16.33,66.14,-41.32,-25.85,-63.65,4.77
-15.72,66.06,-41.27,-25.89,-64.17,4.81
